Manufacturer,Model,Version,Power(kW),Fuel_date,Consumption(kWh/100km),ECR_deviation,Fuel_type,Quantity(kWh),Tire_Type,City,Highway,"Country_Roads	",Driving_Style,A/C,Park_heating,Avg_Speed(km/h),Trip_Distance(km)
Volkswagen,Golf,e-Golf,85,18.12.2018,16.4,-0.4,Electricity,9.68,Winter tires,0,0,1,Normal,0,0,17,44
Volkswagen,Golf,e-Golf,85,12.12.2018,16,-0.8,Electricity,8.91,Winter tires,0,0,1,Normal,0,0,51,78
Volkswagen,Golf,e-Golf,85,11.12.2018,18.3,1.5,Electricity,6.07,Winter tires,0,1,0,Normal,0,0,59,40
Volkswagen,Golf,e-Golf,85,10.12.2018,16.2,-0.6,Electricity,10.5,Winter tires,0,0,1,Normal,0,0,48,38
Volkswagen,Golf,e-Golf,85,10.12.2018,16.5,-0.3,Electricity,6.93,Winter tires,0,0,1,Normal,0,0,39,42
Volkswagen,Golf,e-Golf,85,07.12.2018,15.9,-0.9,Electricity,8.06,Winter tires,0,0,1,Normal,0,0,48,80
Volkswagen,Golf,e-Golf,85,06.12.2018,17.3,0.5,Electricity,10.81,Winter tires,0,0,1,Normal,0,0,49,57
Volkswagen,Golf,e-Golf,85,04.12.2018,16.5,-0.3,Electricity,12.33,Winter tires,0,1,0,Normal,0,0,45,43
Volkswagen,Golf,e-Golf,85,03.12.2018,16.8,0,Electricity,8.64,Winter tires,0,0,1,Normal,0,0,68,33
Volkswagen,Golf,e-Golf,85,02.12.2018,15.3,-1.5,Electricity,3.41,Winter tires,0,0,1,Normal,0,0,58,61
Volkswagen,Golf,e-Golf,85,02.12.2018,14.6,-2.2,Electricity,8.33,Winter tires,0,0,1,Normal,0,0,55,70
Volkswagen,Golf,e-Golf,85,02.12.2018,14,-2.8,Electricity,3.14,Winter tires,0,0,1,Moderate,0,0,62,33
Volkswagen,Golf,e-Golf,85,01.12.2018,16.3,-0.5,Electricity,8.31,Winter tires,1,1,0,Normal,0,1,36,51
